chem_name,prod_name
Glycerin,Eudermine Revitalizing Essence 
Magnesium,Eudermine Revitalizing Essence 
Methylparaben,Eudermine Revitalizing Essence 
Phenoxyethanol,Eudermine Revitalizing Essence 
Sodium Hyaluronate,Eudermine Revitalizing Essence 
Phenoxyethanol,Exfoliating Peel Gel
Benzyl Alcohol,ExfoliKate® Cleanser Daily Foaming Wash
Dimethicone,ExfoliKate® Cleanser Daily Foaming Wash
Glycerin,ExfoliKate® Cleanser Daily Foaming Wash
Lactic Acid,ExfoliKate® Cleanser Daily Foaming Wash
Palmitate,ExfoliKate® Intensive Pore Exfoliating Treatment
Caprylyl Glycol,High Potency Classics: Face Finishing & Firming Moisturizer
Cetearyl Alcohol,High Potency Classics: Face Finishing & Firming Moisturizer
Dimethicone,High Potency Classics: Face Finishing & Firming Moisturizer
Glycerin,High Potency Classics: Face Finishing & Firming Moisturizer
Phenoxyethanol,High Potency Classics: Face Finishing & Firming Moisturizer
Palmitate,High Potency Classics: Face Finishing & Firming Moisturizer
Vitamin C,High Potency Classics: Face Finishing & Firming Moisturizer
Glycerin,Facial Radiance Pads
Hyaluronic Acid,Facial Radiance Pads
Lactic Acid,Facial Radiance Pads
Phenoxyethanol,Facial Radiance Pads
Arbutin,Ferulic Acid + Retinol Brightening Solution
Ferulic Acid,Ferulic Acid + Retinol Brightening Solution
Glycerin,Ferulic Acid + Retinol Brightening Solution
Mandelic Acid,Ferulic Acid + Retinol Brightening Solution
Panthenol,Ferulic Acid + Retinol Brightening Solution
Phenoxyethanol,Ferulic Acid + Retinol Brightening Solution
Propylene Glycol,Ferulic Acid + Retinol Brightening Solution
Retinol,Ferulic Acid + Retinol Brightening Solution
Sodium Hyaluronate,Ferulic Acid + Retinol Brightening Solution
Amino Acids,Ferulic + Retinol Anti-Aging Moisturizer
Butylene Glycol,Ferulic + Retinol Anti-Aging Moisturizer
Caprylyl Glycol,Ferulic + Retinol Anti-Aging Moisturizer
Cetearyl Alcohol,Ferulic + Retinol Anti-Aging Moisturizer
Collagen,Ferulic + Retinol Anti-Aging Moisturizer
Dimethicone,Ferulic + Retinol Anti-Aging Moisturizer
Ferulic Acid,Ferulic + Retinol Anti-Aging Moisturizer
Glycerin,Ferulic + Retinol Anti-Aging Moisturizer
Lactic Acid,Ferulic + Retinol Anti-Aging Moisturizer
Phenoxyethanol,Ferulic + Retinol Anti-Aging Moisturizer
Retinol,Ferulic + Retinol Anti-Aging Moisturizer
Palmitate,Ferulic + Retinol Anti-Aging Moisturizer
Sodium Hyaluronate,Ferulic + Retinol Anti-Aging Moisturizer
Amino Acids,Ferulic + Retinol Eye Cream
Butylene Glycol,Ferulic + Retinol Eye Cream
Caffeine,Ferulic + Retinol Eye Cream
Caprylyl Glycol,Ferulic + Retinol Eye Cream
Cetearyl Alcohol,Ferulic + Retinol Eye Cream
Collagen,Ferulic + Retinol Eye Cream
Dimethicone,Ferulic + Retinol Eye Cream
Ferulic Acid,Ferulic + Retinol Eye Cream
Glycerin,Ferulic + Retinol Eye Cream
Lactic Acid,Ferulic + Retinol Eye Cream
Phenoxyethanol,Ferulic + Retinol Eye Cream
Propanediol,Ferulic + Retinol Eye Cream
Retinol,Ferulic + Retinol Eye Cream
Palmitate,Ferulic + Retinol Eye Cream
Sodium Hyaluronate,Ferulic + Retinol Eye Cream
Arbutin,Ferulic + Retinol Triple Correction Eye Serum
Butylene Glycol,Ferulic + Retinol Triple Correction Eye Serum
